text,label,source,text_length,cleaned_text,processed_text,word_count,char_count,avg_word_length,sentence_count,exclamation_count,question_count,uppercase_ratio,stopword_count
Scientists at Harvard University discovered a new species of amphibian in the Amazon rainforest. The research was published in the journal Nature after five years of study.,1,Harvard Research,172,scientists at harvard university discovered a new species of amphibian in the amazon rainforest the research was published in the journal nature after five years of study,scientists harvard university discovered new species amphibian amazon rainforest research published journal nature five years study,27,170,5.333333333333333,1,0,0,0.0,11
"The global economy shows signs of recovery as stock markets in the US and Europe reached record highs this quarter, according to financial analysts.",1,Financial Times,148,the global economy shows signs of recovery as stock markets in the us and europe reached record highs this quarter according to financial analysts,global economy shows signs recovery stock markets europe reached record highs quarter according financial analysts,24,146,5.125,1,0,0,0.0,8
"NASA successfully launched the Landsat 9 satellite, designed to monitor climate change effects and provide crucial environmental data for researchers worldwide.",1,NASA Official,160,nasa successfully launched the landsat satellite designed to monitor climate change effects and provide crucial environmental data for researchers worldwide,nasa successfully launched landsat satellite designed monitor climate change effects provide crucial environmental data researchers worldwide,20,156,6.85,1,0,0,0.0,4
"Medical researchers at Oxford University have developed a new vaccine that shows 95% effectiveness in phase 3 clinical trials involving 30,000 participants.",1,Oxford Study,156,medical researchers at oxford university have developed a new vaccine that shows effectiveness in phase clinical trials involving participants,medical researchers oxford university developed new vaccine shows effectiveness phase clinical trials involving participants,19,142,6.526315789473684,1,0,0,0.0,5
"Renewable energy sources now account for 38% of electricity production in Germany, marking a significant milestone in the country's green energy transition.",1,Energy Report,156,renewable energy sources now account for of electricity production in germany marking a significant milestone in the countrys green energy transition,renewable energy sources account electricity production germany marking significant milestone countrys green energy transition,21,149,6.142857142857143,1,0,0,0.0,7
"The Education Ministry announced new digital learning initiatives to improve remote education access for students in rural areas, with a budget of $500 million.",1,Education Ministry,160,the education ministry announced new digital learning initiatives to improve remote education access for students in rural areas with a budget of million,education ministry announced new digital learning initiatives improve remote education access students rural areas budget million,23,153,5.695652173913044,1,0,0,0.0,7
"Archaeologists from Cambridge University uncovered an ancient city dating back to 1000 BCE in the Mediterranean region, revealing new insights into early civilization.",1,Cambridge Archaeology,167,archaeologists from cambridge university uncovered an ancient city dating back to bce in the mediterranean region revealing new insights into early civilization,archaeologists cambridge university uncovered ancient city dating back bce mediterranean region revealing new insights early civilization,22,160,6.318181818181818,1,0,0,0.0,6
A new study published in the British Medical Journal shows that regular exercise reduces the risk of chronic diseases by up to 40% in adults over 50.,1,Medical Journal,149,a new study published in the british medical journal shows that regular exercise reduces the risk of chronic diseases by up to in adults over,new study published british medical journal shows regular exercise reduces risk chronic diseases adults,25,141,4.68,1,0,0,0.0,11
"The World Health Organization reported a significant decline in malaria cases across Africa, attributing the success to improved mosquito net distribution.",1,WHO Report,155,the world health organization reported a significant decline in malaria cases across africa attributing the success to improved mosquito net distribution,world health organization reported significant decline malaria cases across africa attributing success improved mosquito net distribution,21,153,6.333333333333333,1,0,0,0.0,5
"Tech companies announced a joint initiative to develop ethical AI guidelines, focusing on transparency and fairness in algorithmic decision-making.",1,Tech Consortium,147,tech companies announced a joint initiative to develop ethical ai guidelines focusing on transparency and fairness in algorithmic decisionmaking,tech companies announced joint initiative develop ethical guidelines focusing transparency fairness algorithmic decisionmaking,19,144,6.631578947368421,1,0,0,0.0,5
