text,label,category,credibility_score,text_length,year
CONFIRMED: Artificial intelligence has surpassed human intelligence and is hiding it from us!,0,Recent Fake,25,93,2026
LOSE 10kg in JUST 3 DAYS with this ONE SIMPLE TRICK! Doctors HATE this method because it makes them UNNECESSARY! Click for SECRET!,0,Conspiracy,10,130,2023
"Scientists discover that WiFi signals are slowly damaging human DNA, leading to increased mutation rates and genetic disorders in future generations.",0,Misinformation,30,149,2023
"Leaked documents show that pharmaceutical companies deliberately create diseases to sell more medications, with insider testimony confirming the conspiracy.",0,Misinformation,30,156,2023
Apple introduced Vision Pro 2 with improved spatial computing capabilities and lighter design in March 2025.,1,Recent Events,85,108,2026
Researchers developed a blood test that can detect multiple types of cancer at early stages with 85% accuracy.,1,Various,85,110,2023
A Stanford University study found that bilingual education improves cognitive flexibility and problem-solving skills in children.,1,Education,85,129,2023
Google announced Gemini Ultra 2.0 with enhanced multimodal understanding and real-time web search integration.,1,Recent Events,85,110,2026
Agricultural scientists developed drought-resistant crop varieties that could help address food security challenges in arid regions.,1,Climate,85,132,2023
"xAI announced the release of Grok 5 in Q1 2026, featuring 6 trillion parameters and native multimodal capabilities for processing text, images, video, and audio.",1,Science/Tech,85,161,2026
"Tesla reported record quarterly deliveries of 500,000 electric vehicles in Q4 2025, surpassing analyst expectations.",1,Economics,85,116,2026
The European Union implemented new regulations requiring tech companies to ensure AI systems are transparent and accountable.,1,Various,85,125,2023
"Wellness bloggers claim that positive thinking can cure diseases, though medical professionals emphasize the need for proper treatment.",0,Borderline,50,135,2023
"The International Energy Agency reported that global solar power capacity doubled in 2025, exceeding coal for the first time.",1,Various,85,125,2026
"Face masks reduce oxygen levels causing permanent brain damage, with millions of children affected by mandatory mask policies.",0,Misinformation,30,126,2023
"Researchers at MIT developed new battery technology that charges electric vehicles in 10 minutes, potentially revolutionizing transportation.",1,Science/Tech,85,141,2023
"Health influencers promote detox diets for weight loss, though nutritionists say the body naturally detoxifies itself.",0,Borderline,50,118,2023
"Electric cars are more polluting than gasoline vehicles when you account for battery production, a fact hidden by environmental activists.",0,Misinformation,30,138,2023
A new study published in the British Medical Journal shows that regular exercise reduces the risk of chronic diseases by up to 40% in adults over 50.,1,Health,85,149,2023
A peer-reviewed study in The Lancet showed that Mediterranean diet adherence reduces cardiovascular disease risk by 30%.,1,Various,85,120,2023
"Drinking alkaline water cures all diseases by balancing body pH, a fact that medical establishments deliberately hide from the public.",0,Misinformation,30,134,2023
"Experts debate whether social media use contributes to mental health issues, with conflicting research findings.",0,Borderline,50,112,2023
Apple unveiled new privacy features allowing users to control how apps access their personal data across devices.,1,Technology,85,113,2023
"Tesla vehicles received Grok AI assistant integration in July 2025 software update, enhancing driver assistance features.",1,Recent Events,85,121,2026
Fluoride in drinking water is a mind-control chemical added by governments to make populations more compliant and less likely to question authority.,0,Misinformation,30,148,2023
"Researchers identified genetic markers associated with increased longevity, potentially leading to personalized health interventions.",1,Health,85,133,2023
xAI secured a $300 million partnership with Telegram to deploy Grok AI globally in January 2026.,1,Recent Events,85,96,2026
"Genetically modified foods alter human DNA when consumed, leading to unknown long-term health effects that scientists refuse to study.",0,Misinformation,30,134,2023
A comprehensive study of ocean currents revealed new patterns that will improve climate models and weather prediction accuracy.,1,Climate,85,127,2023
Alternative historians suggest that mainstream archaeology may have missed important discoveries about human origins.,0,Borderline,50,117,2023
