text,label,source,text_length
Scientists at Harvard University discovered a new species of amphibian in the Amazon rainforest. The research was published in the journal Nature after five years of study.,1,Harvard Research,172
"The global economy shows signs of recovery as stock markets in the US and Europe reached record highs this quarter, according to financial analysts.",1,Financial Times,148
"NASA successfully launched the Landsat 9 satellite, designed to monitor climate change effects and provide crucial environmental data for researchers worldwide.",1,NASA Official,160
"Medical researchers at Oxford University have developed a new vaccine that shows 95% effectiveness in phase 3 clinical trials involving 30,000 participants.",1,Oxford Study,156
"Renewable energy sources now account for 38% of electricity production in Germany, marking a significant milestone in the country's green energy transition.",1,Energy Report,156
"The Education Ministry announced new digital learning initiatives to improve remote education access for students in rural areas, with a budget of $500 million.",1,Education Ministry,160
"Archaeologists from Cambridge University uncovered an ancient city dating back to 1000 BCE in the Mediterranean region, revealing new insights into early civilization.",1,Cambridge Archaeology,167
A new study published in the British Medical Journal shows that regular exercise reduces the risk of chronic diseases by up to 40% in adults over 50.,1,Medical Journal,149
"The World Health Organization reported a significant decline in malaria cases across Africa, attributing the success to improved mosquito net distribution.",1,WHO Report,155
"Tech companies announced a joint initiative to develop ethical AI guidelines, focusing on transparency and fairness in algorithmic decision-making.",1,Tech Consortium,147
"Climate scientists confirmed that 2023 was the warmest year on record, with global temperatures 1.2°C above pre-industrial levels.",1,Climate Science,130
"The Federal Reserve maintained interest rates at current levels, citing stable economic growth and controlled inflation metrics.",1,Federal Reserve,128
"Researchers at MIT developed a new battery technology that charges electric vehicles in 10 minutes, potentially revolutionizing transportation.",1,MIT Research,143
A comprehensive study of ocean currents revealed new patterns that will improve climate models and weather prediction accuracy.,1,Oceanography Study,127
Agricultural scientists developed drought-resistant crop varieties that could help address food security challenges in arid regions.,1,Agriculture Dept,132
"The United Nations reported progress on Sustainable Development Goals, with 60% of targets showing measurable improvement since 2015.",1,UN Report,133
BREAKING: Aliens have been CONFIRMED in Area 51 according to TOP SECRET government documents leaked by an insider! SHOCKING footage reveals EVERYTHING!,0,Harvard Research,151
"URGENT: Drinking diluted bleach cures COVID-19 INSTANTLY, anonymous doctor reveals SECRET treatment that BIG PHARMA doesn't want you to know! SHARE NOW!",0,Financial Times,152
5G towers are PROVEN to cause coronavirus outbreaks worldwide! Whistleblower CONFIRMS the connection - this is what THEY don't want you to see!,0,NASA Official,143
MOON LANDING was COMPLETELY FAKE and filmed in a Hollywood studio! New EVIDENCE exposes the 50-year conspiracy - NASA has been LYING to everyone!,0,Oxford Study,145
VACCINES contain MICROCHIPS that allow government to TRACK your movements! Documents PROVE secret surveillance program - WAKE UP people!,0,Energy Report,136
Eating just ONE BANANA daily prevents ALL forms of cancer! DOCTORS are HIDING this truth because they profit from chemotherapy!,0,Education Ministry,127
The Earth is actually FLAT and NASA has spent BILLIONS lying to us! Satellite images are COMPUTER GENERATED - the truth is being SUPPRESSED!,0,Cambridge Archaeology,140
LOSE 10kg in JUST 3 DAYS with this ONE SIMPLE TRICK! Doctors HATE this method because it makes them UNNECESSARY! Click for SECRET!,0,Medical Journal,130
GOVERNMENT installing MIND CONTROL devices in new smartphones! Update contains secret software that reads your thoughts - PROOF inside!,0,WHO Report,135
SECRET cure for aging discovered! 150-year-old scientist reveals how to LIVE FOREVER - pharmaceutical companies trying to SUPPRESS the information!,0,Tech Consortium,147
CHEMTRAILS from airplanes are POISONING our atmosphere! Government ADMITS to weather modification program that's MAKING people sick!,0,Climate Science,132
NEW WORLD ORDER plans complete takeover by 2025! Secret documents reveal plot to ELIMINATE cash and implement DIGITAL SLAVERY system!,0,Federal Reserve,133
TIME TRAVEL technology EXISTS and is being used by the elite! Whistleblower reveals how billionaires are manipulating historical events!,0,MIT Research,136
HAARP weather weapon CAUSED hurricane that devastated coastal city! Government using climate as a WEAPON against its own citizens!,0,Oceanography Study,130
ALL mainstream media is CONTROLLED by 3 corporations! Every news story is MANUFACTURED to manipulate public opinion - WAKE UP!,0,Agriculture Dept,126
CANCER is actually a FUNGUS that can be cured with baking soda! $300 billion medical industry HIDING simple cure to protect profits!,0,UN Report,132
